Date,Vehicle Class,Fuel Type,Classified,Date
2020-12-01,LGV,Diesel,5020,2020-12-01
2020-12-01,LGV,Electric,42,2020-12-01
2020-12-01,LGV,Petrol,2,2020-12-01
2020-12-01,MGV,Diesel,1377,2020-12-01
2020-12-01,MGV,Electric,1,2020-12-01
2020-12-01,Motorcycle,Electric,25,2020-12-01
2020-12-01,Motorcycle,Petrol,10626,2020-12-01
2020-12-01,Private Bus,Diesel,47,2020-12-01
2020-12-01,Private Car,Electric,5408,2020-12-01
2020-12-01,Private Car,Petrol,38020,2020-12-01
2020-12-01,Private Light Bus,Diesel,81,2020-12-01
2020-12-01,Private Light Bus,Electric,1,2020-12-01
2020-12-01,Private Light Bus,LPG,88,2020-12-01
2020-12-01,Public Bus,Diesel,574,2020-12-01
2020-12-01,Public Light Bus,Diesel,16,2020-12-01
2020-12-01,Public Light Bus,LPG,211,2020-12-01
2020-12-01,Taxi,LPG,928,2020-12-01
2021-01-01,HGV,Diesel,309,2021-01-01
2021-01-01,LGV,Diesel,5314,2021-01-01
2021-01-01,LGV,Electric,46,2021-01-01
2021-01-01,LGV,Petrol,2,2021-01-01
2021-01-01,MGV,Diesel,1456,2021-01-01
2021-01-01,MGV,Electric,1,2021-01-01
2021-01-01,Motorcycle,Electric,26,2021-01-01
2021-01-01,Motorcycle,Petrol,11232,2021-01-01
2021-01-01,Private Bus,Diesel,50,2021-01-01
2021-01-01,Private Car,Electric,5629,2021-01-01
2021-01-01,Private Car,Petrol,40421,2021-01-01
2021-01-01,Private Light Bus,Diesel,83,2021-01-01
2021-01-01,Private Light Bus,Electric,1,2021-01-01
2021-01-01,Private Light Bus,LPG,89,2021-01-01
2021-01-01,Public Bus,Diesel,604,2021-01-01
2021-01-01,Public Light Bus,Diesel,18,2021-01-01
2021-01-01,Public Light Bus,LPG,215,2021-01-01
2021-01-01,Taxi,LPG,973,2021-01-01
2021-02-01,HGV,Diesel,339,2021-02-01
2021-02-01,LGV,Diesel,5603,2021-02-01
2021-02-01,LGV,Electric,48,2021-02-01
2021-02-01,LGV,Petrol,2,2021-02-01
2021-02-01,MGV,Diesel,1520,2021-02-01
2021-02-01,MGV,Electric,1,2021-02-01
2021-02-01,Motorcycle,Electric,28,2021-02-01
2021-02-01,Motorcycle,Petrol,11824,2021-02-01
2021-02-01,Private Bus,Diesel,64,2021-02-01
2021-02-01,Private Car,Electric,6108,2021-02-01
2021-02-01,Private Car,Petrol,42459,2021-02-01
